Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,372.75,375.0,372.5,374.0,374.0,164719
2019-01-17,374.0,381.5,373.75,380.0,380.0,207625
2019-01-18,379.75,383.0,377.75,381.75,381.75,191033
2019-01-22,380.75,382.25,376.75,379.0,379.0,211433
2019-01-23,379.5,381.75,378.0,378.75,378.75,127605
2019-01-24,378.75,379.75,375.75,377.0,377.0,124108
2019-01-25,377.0,380.5,376.0,380.25,380.25,134094
2019-01-28,379.5,381.0,378.0,379.75,379.75,102144
2019-01-29,379.75,380.75,376.0,377.25,377.25,187023
2019-01-30,377.75,381.5,377.5,381.25,381.25,198900
2019-01-31,381.0,381.5,375.75,376.5,376.5,205750
2019-02-01,376.5,380.75,376.5,378.25,378.25,151472
2019-02-04,377.75,379.75,376.5,379.25,379.25,145834
2019-02-05,379.5,381.25,377.0,380.75,380.75,171954
2019-02-06,380.5,380.75,379.0,380.0,380.0,145154
2019-02-07,379.75,380.25,376.25,376.5,376.5,259742
2019-02-08,376.5,381.75,374.0,374.25,374.25,340779
2019-02-11,374.5,375.0,371.75,372.75,372.75,309359
2019-02-12,373.5,378.75,373.0,378.25,378.25,291257
2019-02-13,377.5,379.0,376.25,378.75,378.75,243883
2019-02-14,378.75,379.0,374.0,374.75,374.75,225289
2019-02-15,374.75,376.5,373.0,374.75,374.75,209096
2019-02-19,374.25,376.25,369.0,369.75,369.75,230708
2019-02-20,371.5,373.5,368.5,370.75,370.75,310666
2019-02-21,371.0,378.5,370.5,375.5,375.5,257188
2019-02-22,374.75,377.75,374.5,375.25,375.25,316659
2019-02-25,377.75,378.5,370.0,370.5,370.5,344712
2019-02-26,370.75,371.25,365.5,366.25,366.25,242769
2019-02-27,366.0,368.25,362.5,363.75,363.75,189224
2019-02-28,363.75,364.75,361.25,362.0,362.0,23512
2019-03-01,361.75,364.0,357.5,364.0,364.0,12360
2019-03-04,365.25,368.0,364.5,365.0,365.0,5270
2019-03-05,366.0,367.25,364.75,366.0,366.0,4570
2019-03-06,366.0,366.0,361.0,362.5,362.5,2916
2019-03-07,362.25,362.25,355.75,356.0,356.0,2482
2019-03-08,357.75,358.25,354.0,354.75,354.75,2265
2019-03-11,357.5,357.5,352.5,352.5,352.5,1747
2019-03-12,353.25,357.75,352.75,356.5,356.5,798
2019-03-13,357.25,359.5,355.0,357.25,357.25,317
2019-03-14,360.25,363.25,360.0,361.5,361.5,183857
2019-03-15,369.25,373.75,369.0,373.25,373.25,197270
2019-03-18,374.0,375.5,370.25,371.5,371.5,169237
2019-03-19,372.0,373.75,367.75,371.25,371.25,159377
2019-03-20,371.5,372.5,368.75,371.5,371.5,101477
2019-03-21,371.0,377.5,370.5,376.25,376.25,220227
2019-03-22,375.75,380.75,375.5,378.25,378.25,222578
2019-03-25,378.75,380.75,376.75,379.75,379.75,155849
2019-03-26,379.25,380.5,375.5,377.25,377.25,165178
2019-03-27,376.75,377.0,372.0,373.75,373.75,127919
2019-03-28,373.75,374.75,372.0,374.0,374.0,105825
2019-03-29,373.75,375.0,356.0,356.5,356.5,441012
2019-04-01,356.5,363.0,356.5,361.75,361.75,239354
2019-04-02,362.25,363.5,359.25,361.5,361.5,117194
2019-04-03,361.25,364.75,360.5,362.75,362.75,135849
2019-04-04,362.75,366.25,362.75,365.25,365.25,159329
2019-04-05,364.5,364.75,360.5,362.5,362.5,273057
2019-04-08,362.25,363.5,359.5,360.0,360.0,269564
2019-04-09,359.75,362.25,355.25,360.0,360.0,275445
2019-04-10,360.25,362.75,360.0,361.75,361.75,253300
2019-04-11,361.25,363.0,358.5,360.0,360.0,264730
2019-04-12,360.25,361.5,358.5,361.0,361.0,95871
2019-04-15,361.25,364.25,361.0,362.75,362.75,208541
2019-04-16,362.5,362.5,357.25,359.0,359.0,192351
2019-04-17,358.25,360.0,356.75,358.25,358.25,148184
2019-04-18,358.0,359.25,357.0,358.5,358.5,102302
2019-04-22,359.0,359.0,354.25,354.75,354.75,144705
2019-04-23,354.75,355.0,350.25,351.25,351.25,194770
2019-04-24,351.0,352.5,345.5,346.75,346.75,241386
2019-04-25,346.0,351.0,342.25,347.5,347.5,236880
2019-04-26,347.25,353.5,347.0,351.25,351.25,166752
2019-04-29,353.25,356.0,351.25,352.0,352.0,250771
2019-04-30,352.25,354.0,349.25,353.25,353.25,14379
2019-05-01,353.5,360.5,353.5,360.0,360.0,8291
2019-05-02,361.0,362.25,358.5,362.0,362.0,4314
2019-05-03,362.25,363.25,360.25,363.0,363.0,1645
2019-05-06,352.5,356.0,349.0,355.75,355.75,1710
2019-05-07,357.0,359.25,355.0,358.0,358.0,1156
2019-05-08,356.5,356.5,353.25,355.25,355.25,860
2019-05-09,350.0,350.0,344.0,344.5,344.5,657
2019-05-10,346.5,346.5,338.25,342.5,342.5,308
2019-05-13,335.5,348.25,335.5,347.5,347.5,286
2019-05-14,354.25,360.75,353.5,360.5,360.5,429399
2019-05-15,369.0,380.0,368.0,369.5,369.5,336989
2019-05-16,368.75,380.75,368.75,379.0,379.0,248510
2019-05-17,380.0,384.75,380.0,383.25,383.25,319503
2019-05-20,386.0,391.5,385.75,389.0,389.0,358734
2019-05-21,393.25,399.0,391.25,394.25,394.25,451260
2019-05-22,393.25,396.5,386.25,394.5,394.5,291262
2019-05-23,394.0,399.0,387.0,389.75,389.75,340117
2019-05-24,390.5,404.75,389.75,404.25,404.25,299952
2019-05-28,408.0,421.0,407.5,420.25,420.25,417683
2019-05-29,429.25,438.0,412.25,418.75,418.75,484436
2019-05-30,416.5,436.75,413.25,436.25,436.25,324914
2019-05-31,435.0,437.5,423.25,427.0,427.0,302171
2019-06-03,426.25,430.75,418.25,424.25,424.25,288442
2019-06-04,435.0,436.0,421.25,425.25,425.25,306703
2019-06-05,424.25,424.75,412.25,414.75,414.75,231859
2019-06-06,414.5,421.5,407.0,420.5,420.5,279006
2019-06-07,421.0,423.5,415.0,415.75,415.75,227751
2019-06-10,413.0,416.5,409.0,415.75,415.75,279949
2019-06-11,415.0,430.25,408.25,427.75,427.75,360317
2019-06-12,427.75,434.5,424.0,430.0,430.0,331360
2019-06-13,429.75,442.75,429.5,442.0,442.0,402152
2019-06-14,442.0,457.25,441.75,453.0,453.0,312814
2019-06-17,458.25,464.25,450.5,454.75,454.75,279480
2019-06-18,455.5,458.0,442.75,449.75,449.75,221471
2019-06-19,449.75,451.75,438.25,441.0,441.0,193331
2019-06-20,441.5,450.75,436.5,450.0,450.0,198628
2019-06-21,452.0,454.0,441.75,442.25,442.25,251093
2019-06-24,442.25,447.75,440.25,446.75,446.75,172094
2019-06-25,451.0,453.0,446.5,447.5,447.5,158426
2019-06-26,447.0,447.25,440.75,443.25,443.25,158878
2019-06-27,443.0,445.5,438.5,440.0,440.0,141131
2019-06-28,439.0,455.0,411.0,420.25,420.25,34514
2019-07-01,424.25,424.75,410.25,412.0,412.0,13482
2019-07-02,412.5,415.5,408.25,413.5,413.5,6526
2019-07-03,417.0,433.75,417.0,433.0,433.0,3471
2019-07-05,433.0,435.5,427.0,434.0,434.0,2127
2019-07-08,440.75,442.75,432.0,438.5,438.5,2083
2019-07-09,437.25,437.75,429.25,431.75,431.75,445
2019-07-10,430.0,434.75,428.0,434.25,434.25,494
2019-07-11,433.25,448.0,433.25,447.75,447.75,597
2019-07-12,447.75,457.0,447.75,449.5,449.5,169365
2019-07-15,459.25,460.0,439.75,441.0,441.0,164465
2019-07-16,437.75,440.75,429.0,435.25,435.25,144486
2019-07-17,435.25,441.5,431.5,436.0,436.0,125868
2019-07-18,435.0,436.0,423.25,424.5,424.5,156004
2019-07-19,425.5,434.0,423.75,430.75,430.75,114521
2019-07-22,430.75,432.25,421.0,422.25,422.25,110947
2019-07-23,423.75,426.5,418.25,425.5,425.5,131110
2019-07-24,425.0,430.5,421.5,424.0,424.0,93160
2019-07-25,424.0,425.75,418.0,418.5,418.5,172277
2019-07-26,418.25,419.5,413.0,414.5,414.5,120749
2019-07-29,413.25,419.5,412.0,417.0,417.0,90112
2019-07-30,417.0,417.0,410.25,411.25,411.25,81026
2019-07-31,410.75,413.75,400.0,400.25,400.25,151787
2019-08-01,401.75,403.0,387.25,392.75,392.75,145330
2019-08-02,394.75,400.0,393.5,399.5,399.5,90361
2019-08-05,400.0,406.75,391.0,405.25,405.25,109686
2019-08-06,405.75,408.0,400.75,404.0,404.0,113069
2019-08-07,404.75,407.5,400.5,406.5,406.5,167530
2019-08-08,407.25,412.0,405.5,411.0,411.0,184792
2019-08-09,410.75,417.0,407.25,410.25,410.25,185366
2019-08-12,409.75,410.0,385.25,385.25,385.25,248125
2019-08-13,379.0,379.0,365.5,366.0,366.0,312969
2019-08-14,366.25,370.5,358.5,359.0,359.0,185092
2019-08-15,360.25,363.75,358.25,360.75,360.75,108781
2019-08-16,361.5,371.25,361.25,371.0,371.0,104806
2019-08-19,367.25,368.25,363.25,365.0,365.0,78542
2019-08-20,366.5,370.25,359.25,359.5,359.5,89474
2019-08-21,360.0,364.0,357.0,362.5,362.5,125855
2019-08-22,363.0,366.5,359.0,363.25,363.25,99247
2019-08-23,362.75,363.0,357.5,359.75,359.75,169868
2019-08-26,358.0,362.0,357.0,358.5,358.5,122537
2019-08-27,359.0,360.0,356.75,357.0,357.0,129886
2019-08-28,357.25,365.5,355.25,362.75,362.75,172927
2019-08-29,363.0,369.0,357.5,359.75,359.75,122794
2019-08-30,359.75,364.5,356.75,358.0,358.0,11240
2019-09-03,358.75,359.0,349.0,349.75,349.75,5335
2019-09-04,350.5,351.0,344.5,346.0,346.0,3851
2019-09-05,346.5,349.5,346.5,346.5,346.5,1813
2019-09-06,347.5,348.25,341.5,342.5,342.5,1357
2019-09-09,343.25,343.25,340.0,340.75,340.75,938
2019-09-10,344.0,349.5,344.0,348.5,348.5,314
2019-09-11,349.75,349.75,344.75,348.25,348.25,328
2019-09-12,349.75,354.5,349.5,354.5,354.5,152
2019-09-13,358.5,358.5,355.5,355.5,355.5,145836
2019-09-16,372.0,374.75,367.5,374.0,374.0,133444
2019-09-17,374.0,374.25,366.0,368.0,368.0,154625
2019-09-18,367.75,372.0,365.75,371.25,371.25,126832
2019-09-19,371.5,373.75,369.5,372.75,372.75,117069
2019-09-20,372.75,374.5,369.5,370.75,370.75,132998
2019-09-23,371.25,374.5,371.0,373.25,373.25,100443
2019-09-24,372.0,376.0,370.25,374.75,374.75,144294
2019-09-25,375.25,377.5,372.25,374.25,374.25,119189
2019-09-26,373.5,375.75,368.25,372.5,372.5,175419
2019-09-27,371.25,373.0,369.75,371.5,371.5,90796
2019-09-30,372.0,388.25,371.5,388.0,388.0,337247
2019-10-01,386.75,392.75,385.25,392.5,392.5,227065
2019-10-02,390.5,391.75,385.5,387.75,387.75,158921
2019-10-03,387.0,390.75,385.5,388.75,388.75,125489
2019-10-04,388.0,389.0,383.75,384.75,384.75,116336
2019-10-07,387.5,387.75,385.0,387.0,387.0,100421
2019-10-08,387.5,396.5,386.0,395.75,395.75,200460
2019-10-09,395.5,397.25,393.0,394.25,394.25,140853
2019-10-10,392.75,395.0,378.25,380.25,380.25,297046
2019-10-11,380.75,398.75,380.5,397.75,397.75,272436
2019-10-14,401.25,402.5,393.25,397.75,397.75,170713
2019-10-15,397.0,398.5,392.5,393.25,393.25,143675
2019-10-16,392.0,392.75,387.5,391.75,391.75,139675
2019-10-17,391.75,397.25,391.5,394.75,394.75,141532
2019-10-18,394.0,395.75,389.75,391.0,391.0,122010
2019-10-21,390.0,393.75,386.5,387.25,387.25,150187
2019-10-22,387.0,392.5,385.0,388.0,388.0,136694
2019-10-23,387.75,389.5,384.0,387.75,387.75,117561
2019-10-24,388.5,390.75,385.25,386.75,386.75,130664
2019-10-25,387.0,390.0,385.75,386.75,386.75,131677
2019-10-28,386.0,386.5,383.25,384.0,384.0,122790
2019-10-29,383.5,387.5,382.0,386.25,386.25,153732
2019-10-30,385.75,391.25,385.25,390.75,390.75,177034
2019-10-31,390.25,391.0,384.75,390.0,390.0,176193
2019-11-01,389.25,391.75,386.25,389.25,389.25,151943
2019-11-04,386.75,387.75,383.0,383.25,383.25,145373
2019-11-05,383.25,384.75,380.5,381.75,381.75,157127
